age,income,education,credit_score,loan_amount,loan_term,employment_status,marital_status,loan_approved
44,94666,Masters,362.0,34340,48,Self-Employed,Divorced,No
32,103559,Masters,372.0,6518,36,Self-Employed,Divorced,No
55,75337,High School,674.0,35949,24,Unemployed,Married,No
53,130616,Masters,807.0,27547,24,Employed,Divorced,Yes
53,33350,PhD,697.0,21346,48,Unemployed,Single,No
63,44354,High School,419.0,7600,12,Unemployed,Married,No
57,65186,High School,736.0,34267,12,Employed,Single,Yes
32,48145,High School,764.0,41322,60,Unemployed,Divorced,No
23,54020,High School,585.0,31990,48,Self-Employed,Single,No
21,106123,PhD,564.0,21193,36,Unemployed,Divorced,No
53,126667,High School,619.0,35109,36,Employed,Divorced,Yes
60,95186,Masters,675.0,24233,48,Employed,Married,Yes
30,105469,PhD,388.0,21194,36,Self-Employed,Married,No
63,40581,Bachelors,502.0,39510,12,Employed,Divorced,No
64,108929,Bachelors,633.0,6306,36,Employed,Married,Yes
49,43051,Masters,521.0,8849,36,Self-Employed,Single,No
33,71474,Masters,340.0,17360,48,Unemployed,Married,No
32,111748,PhD,367.0,34231,48,Self-Employed,Married,No
51,145995,Bachelors,813.0,41963,36,Unemployed,Single,No
22,134618,Bachelors,426.0,23689,24,Self-Employed,Married,No
55,89626,,554.0,34084,48,Unemployed,Divorced,No
43,26960,Bachelors,315.0,45387,60,Self-Employed,Single,No
37,55772,Bachelors,776.0,14280,60,Unemployed,Divorced,No
46,41520,High School,361.0,7642,12,Self-Employed,Single,No
28,69481,Masters,,47137,36,Unemployed,Divorced,No
49,56408,High School,567.0,19296,24,Self-Employed,Divorced,No
46,114006,Bachelors,334.0,20438,12,Employed,Married,No
30,148496,PhD,793.0,42525,36,Unemployed,Divorced,No
46,77134,PhD,768.0,7994,48,Self-Employed,Married,Yes
54,40491,Bachelors,624.0,39039,60,Unemployed,Single,No
61,21341,Bachelors,603.0,6813,24,Unemployed,Divorced,No
27,64623,PhD,575.0,32491,60,Self-Employed,Divorced,No
24,110327,High School,500.0,23845,48,Unemployed,Single,No
31,20338,High School,744.0,46243,36,Self-Employed,Single,No
49,91431,Bachelors,623.0,42164,48,Employed,Divorced,Yes
56,32254,High School,334.0,47051,48,Unemployed,Single,No
45,71860,PhD,781.0,18318,60,Employed,Married,Yes
41,31344,High School,779.0,22200,24,Unemployed,Single,No
56,21750,Bachelors,364.0,5082,48,Unemployed,,No
30,74756,PhD,307.0,6920,60,Unemployed,Divorced,No
57,87957,High School,600.0,45585,24,Self-Employed,Married,No
29,125423,Masters,642.0,16683,36,Employed,Single,Yes
44,78053,PhD,730.0,16336,36,Unemployed,Married,No
55,90855,PhD,723.0,20596,12,Self-Employed,Married,Yes
55,35896,Masters,631.0,7093,60,Unemployed,Married,No
56,75761,Masters,737.0,17905,24,Self-Employed,Divorced,Yes
38,82552,PhD,473.0,29351,48,Unemployed,Single,No
59,140075,Masters,826.0,35981,36,Employed,Divorced,Yes
52,97454,Bachelors,325.0,13367,24,Employed,Single,No
44,146522,Bachelors,705.0,10285,60,Unemployed,Single,No
43,138681,Bachelors,531.0,48664,12,Self-Employed,Divorced,No
52,110600,PhD,832.0,42705,36,Unemployed,Married,No
57,142732,Masters,849.0,21753,24,Self-Employed,Married,Yes
32,132153,Masters,804.0,23485,24,Unemployed,Single,No
33,142926,High School,,17977,24,Self-Employed,Divorced,No
43,47935,High School,431.0,24874,60,Employed,Married,No
45,57641,Masters,754.0,12674,60,Unemployed,Married,No
55,49711,Masters,647.0,34038,60,Employed,Single,Yes
61,90342,Masters,839.0,34315,48,Employed,Single,Yes
50,126896,PhD,705.0,8676,24,Unemployed,Divorced,No
37,32182,Masters,375.0,7426,36,Unemployed,Single,No
40,107833,High School,791.0,29473,60,Self-Employed,Married,Yes
45,76276,PhD,493.0,7962,60,Self-Employed,Married,No
42,39541,Masters,461.0,34943,24,Employed,Married,No
33,114457,High School,646.0,5859,60,Self-Employed,Married,Yes
39,102310,PhD,660.0,49816,48,Self-Employed,Divorced,Yes
56,64813,Masters,386.0,9138,48,Unemployed,Divorced,No
32,57198,Masters,561.0,40192,60,Self-Employed,Single,No
61,28820,Masters,513.0,30640,24,Employed,Single,No
39,44070,PhD,,15409,24,Self-Employed,Single,No
32,89768,High School,582.0,9017,24,Employed,Divorced,No
29,31122,High School,766.0,15451,12,Unemployed,Married,No
27,100559,Bachelors,679.0,33327,60,Employed,Single,Yes
48,93543,Masters,661.0,15278,24,Self-Employed,Married,Yes
34,103441,Bachelors,748.0,29944,48,Unemployed,Single,No
51,61786,Bachelors,740.0,48764,36,Self-Employed,Single,Yes
39,114934,High School,392.0,6134,36,Unemployed,Single,No
36,119804,PhD,723.0,35131,24,Unemployed,Single,No
25,26737,PhD,441.0,42887,36,Self-Employed,Single,No
55,56062,High School,590.0,43462,36,Self-Employed,Married,No
32,74237,PhD,731.0,27520,12,Unemployed,Single,No
45,71571,Bachelors,348.0,26869,48,Unemployed,Married,No
41,45510,Masters,601.0,41932,48,Self-Employed,Divorced,Yes
56,39426,High School,489.0,10039,12,Employed,Single,No
43,57265,Masters,435.0,26281,12,Self-Employed,Married,No
36,37850,,703.0,15442,36,Unemployed,Divorced,No
59,138249,Masters,640.0,13252,60,Self-Employed,Divorced,Yes
62,86150,PhD,,32586,36,Employed,Divorced,Yes
59,107312,PhD,662.0,22568,12,Self-Employed,Married,Yes
34,109613,Bachelors,681.0,25810,48,Unemployed,Single,No
51,94910,PhD,532.0,6551,36,Self-Employed,Single,No
25,72375,Bachelors,643.0,17625,60,Unemployed,Married,No
55,141826,Bachelors,848.0,39397,36,Unemployed,Single,No
43,55435,Bachelors,828.0,31249,24,Self-Employed,Married,Yes
49,116443,High School,482.0,6361,36,Unemployed,Single,No
63,77132,High School,340.0,31149,12,Unemployed,,No
31,98945,PhD,696.0,9370,48,Employed,Single,Yes
38,102050,Bachelors,793.0,10283,48,Employed,Married,Yes
32,149828,High School,632.0,12610,12,Employed,Married,Yes
29,115402,Bachelors,,48326,24,Employed,Divorced,No
30,22983,Masters,300.0,19924,12,Unemployed,Married,No
64,117241,Masters,467.0,49717,36,Self-Employed,Single,No
37,40662,Masters,318.0,15626,12,Unemployed,Single,No
58,43510,PhD,631.0,39761,12,Unemployed,Divorced,No
27,98187,Bachelors,755.0,5869,24,Unemployed,Married,No
33,60998,Masters,408.0,36552,36,Self-Employed,Divorced,No
60,76846,High School,567.0,6014,60,Employed,Single,No
62,114071,Masters,744.0,15103,60,Unemployed,Divorced,No
29,26640,Masters,539.0,21986,48,Unemployed,Married,No
47,64547,Masters,600.0,49781,12,Employed,Divorced,No
22,74620,PhD,402.0,35471,48,Unemployed,Married,No
25,35317,High School,549.0,38458,24,Self-Employed,Married,No
49,135608,Bachelors,752.0,30069,60,Unemployed,Single,No
57,27564,High School,819.0,21873,12,Unemployed,Single,No
58,47345,Bachelors,452.0,28248,24,Employed,Single,No
39,133824,PhD,473.0,28624,24,Unemployed,Married,No
28,114223,PhD,642.0,48516,12,Unemployed,Divorced,No
21,143372,PhD,730.0,34061,24,Self-Employed,Married,Yes
42,99273,PhD,623.0,29170,12,Employed,Single,Yes
37,94859,Bachelors,719.0,13024,12,Employed,Single,Yes
27,100765,Masters,784.0,21678,36,Self-Employed,Divorced,Yes
45,130017,Bachelors,711.0,43256,48,Unemployed,Single,No
24,94038,High School,,25411,24,Employed,Single,No
56,143618,PhD,412.0,48803,24,Employed,Single,No
26,72393,PhD,631.0,24296,36,Unemployed,Divorced,No
51,86081,High School,677.0,31293,36,Unemployed,Married,No
39,145341,Bachelors,340.0,32172,36,Employed,Single,No
64,122650,Masters,404.0,26128,60,Unemployed,Divorced,No
59,49430,Masters,501.0,23257,60,Employed,,No
47,95532,High School,749.0,17855,60,Unemployed,Divorced,No
30,47788,Masters,565.0,24642,12,Unemployed,Single,No
46,115505,Bachelors,509.0,40585,24,Self-Employed,Divorced,No
39,68543,Bachelors,417.0,25025,48,Unemployed,Single,No
59,33919,High School,676.0,9458,12,Self-Employed,Married,No
23,89346,Bachelors,839.0,10307,24,Unemployed,Single,No
33,116122,PhD,383.0,46701,24,Employed,Divorced,No
48,59974,High School,753.0,23425,36,Employed,Single,Yes
40,127309,Bachelors,813.0,48427,36,Unemployed,Married,No
48,36371,High School,686.0,33273,12,Unemployed,Single,No
28,65084,Masters,649.0,43506,36,Employed,Divorced,Yes
61,49629,Bachelors,595.0,10668,24,Unemployed,,No
59,71184,PhD,557.0,30934,36,Self-Employed,Married,No
21,81916,Bachelors,380.0,12697,60,Self-Employed,Divorced,No
23,147293,High School,567.0,29417,36,Self-Employed,Single,No
33,93972,High School,718.0,21446,24,Self-Employed,Single,Yes
48,82187,Bachelors,534.0,45597,12,Self-Employed,Single,No
45,32984,,610.0,15751,48,Unemployed,Divorced,No
53,53039,PhD,656.0,12352,36,Unemployed,Single,No
58,105431,PhD,512.0,18516,24,Self-Employed,Single,No
26,103691,High School,,28299,48,Unemployed,Single,No
64,78606,,426.0,36957,48,Unemployed,Married,No
52,30616,Masters,522.0,33927,60,Self-Employed,Divorced,No
41,122665,High School,578.0,46094,48,Unemployed,Divorced,No
36,125373,PhD,707.0,41412,24,Unemployed,Divorced,No
41,70072,Bachelors,804.0,34493,24,Unemployed,Married,No
31,44574,,593.0,31711,36,Self-Employed,Divorced,No
57,23430,Masters,576.0,13003,36,Unemployed,Married,No
56,139123,PhD,,36707,36,Employed,Married,Yes
55,32676,PhD,406.0,8278,48,Employed,Divorced,No
39,30816,Masters,719.0,12296,48,Self-Employed,Single,No
40,52733,,728.0,30398,60,Employed,Single,Yes
38,105680,High School,,40842,36,Self-Employed,Divorced,Yes
61,22050,Bachelors,372.0,18261,12,Employed,Divorced,No
34,129996,Masters,329.0,16173,60,Employed,Married,No
35,53933,PhD,487.0,35449,12,Employed,Divorced,No
51,44951,Bachelors,663.0,46080,48,Self-Employed,Married,Yes
21,52413,High School,750.0,6637,60,Self-Employed,Divorced,Yes
23,54801,Masters,494.0,36781,60,Unemployed,Single,No
36,75619,Bachelors,455.0,18652,24,Self-Employed,Single,No
43,52913,High School,471.0,10103,48,Employed,Divorced,No
31,132573,Masters,340.0,30500,48,Employed,Married,No
32,139076,High School,362.0,39800,60,Self-Employed,Single,No
30,60600,Masters,322.0,40529,48,Self-Employed,Married,No
52,77775,PhD,659.0,23452,60,Self-Employed,Divorced,Yes
36,110816,Bachelors,,36174,24,Unemployed,Divorced,No
28,149972,High School,417.0,40436,60,Employed,Single,No
58,110093,Masters,679.0,20954,48,Unemployed,Divorced,No
32,132590,High School,589.0,22186,48,Unemployed,Single,No
44,55400,High School,739.0,17356,60,Employed,Married,Yes
48,24494,Bachelors,306.0,37963,60,Employed,Single,No
28,100688,PhD,495.0,7187,60,Self-Employed,Single,No
48,142744,High School,720.0,16707,36,Self-Employed,Married,Yes
56,109431,Masters,492.0,40098,48,Unemployed,Single,No
46,94691,Masters,447.0,31935,48,Self-Employed,Single,No
28,117419,PhD,501.0,26225,36,Self-Employed,Divorced,No
48,128730,Masters,743.0,8606,60,Employed,Married,Yes
48,63001,PhD,718.0,37828,24,Employed,Single,Yes
57,87364,Masters,726.0,31489,60,Self-Employed,Married,Yes
61,144988,Bachelors,778.0,19387,60,Employed,Married,Yes
56,65028,High School,774.0,8927,36,Self-Employed,Single,Yes
47,127434,,425.0,11296,48,Employed,,No
37,117659,High School,694.0,35444,60,Employed,Married,Yes
29,57573,High School,624.0,7591,48,Employed,Single,Yes
53,20806,High School,691.0,49895,12,Employed,Married,No
40,144343,Bachelors,739.0,31147,48,Self-Employed,Divorced,Yes
33,76638,High School,503.0,43889,24,Unemployed,Divorced,No
48,148301,Bachelors,785.0,6200,24,Employed,,Yes
49,146295,PhD,330.0,20721,60,Self-Employed,Single,No
33,126506,Masters,687.0,24238,48,Self-Employed,Single,Yes
55,49757,Masters,,16087,60,Employed,Divorced,Yes
26,54636,High School,,35816,36,Unemployed,Single,No
38,100097,Bachelors,643.0,28408,24,Employed,Divorced,Yes
25,68280,Masters,742.0,44740,60,Self-Employed,Single,Yes
45,44262,Bachelors,374.0,5136,36,Unemployed,Divorced,No
22,100435,,454.0,22413,60,Self-Employed,Married,No
30,82211,High School,729.0,23978,48,Employed,Divorced,Yes
50,74842,Masters,662.0,5661,48,Unemployed,Divorced,No
25,148583,High School,747.0,40240,48,Self-Employed,Single,Yes
53,76979,High School,533.0,32253,48,Self-Employed,Single,No
21,134524,Masters,561.0,31884,12,Self-Employed,Single,No
38,101470,,424.0,37854,36,Employed,Single,No
52,58197,PhD,544.0,15704,36,Unemployed,Single,No
31,61844,PhD,841.0,43987,48,Employed,,Yes
41,84754,Bachelors,784.0,29527,12,Employed,,Yes
46,121868,Masters,421.0,21322,48,Employed,Divorced,No
45,54157,PhD,424.0,11968,12,Unemployed,Divorced,No
42,97129,Bachelors,848.0,32518,48,Employed,Divorced,Yes
47,60042,Bachelors,469.0,32886,24,Employed,Married,No
33,81665,Bachelors,423.0,6700,24,Employed,Divorced,No
53,135512,PhD,334.0,33246,60,Employed,Married,No
54,136953,,386.0,40468,48,Self-Employed,Married,No
61,102856,High School,500.0,28199,36,Employed,Married,No
55,47376,Bachelors,668.0,49589,60,Self-Employed,Divorced,Yes
21,129049,PhD,376.0,37115,24,Employed,Married,No
41,75554,PhD,358.0,10520,48,Unemployed,Divorced,No
26,34199,High School,730.0,49278,60,Self-Employed,Divorced,No
48,138533,High School,799.0,41455,48,Self-Employed,Single,Yes
37,101412,PhD,,25929,24,Self-Employed,Single,No
25,70948,Masters,577.0,46605,60,Self-Employed,Married,No
51,93781,High School,367.0,19955,24,Unemployed,Married,No
25,92750,PhD,368.0,49049,12,Employed,Divorced,No
58,86262,High School,464.0,18917,24,Self-Employed,Married,No
23,137424,Masters,788.0,9757,48,Unemployed,Married,No
43,66600,Bachelors,604.0,18045,36,Self-Employed,Divorced,Yes
57,96898,High School,664.0,46680,24,Employed,,Yes
57,82483,Masters,678.0,9733,36,Self-Employed,Married,Yes
30,38297,PhD,642.0,35954,12,Unemployed,Divorced,No
30,50448,High School,653.0,36135,60,Employed,Divorced,Yes
39,46172,High School,715.0,12081,60,Unemployed,Single,No
37,62874,,,46458,36,Employed,Divorced,No
41,27657,Bachelors,796.0,28501,60,Employed,Single,No
34,104386,PhD,640.0,26113,24,Employed,Married,Yes
29,145617,High School,682.0,39441,36,Self-Employed,Divorced,Yes
21,45425,PhD,832.0,29690,48,Unemployed,Divorced,No
33,46685,Masters,599.0,48939,24,Unemployed,Divorced,No
24,142000,PhD,438.0,34345,24,Unemployed,,No
21,132855,High School,658.0,49571,24,Employed,Single,Yes
60,44578,,798.0,31829,48,Self-Employed,Married,Yes
52,48831,Bachelors,684.0,40062,12,Employed,Married,Yes
54,27906,PhD,579.0,8630,60,Unemployed,Divorced,No
48,81413,,782.0,36870,36,Self-Employed,Single,Yes
51,74028,Masters,410.0,49942,12,Self-Employed,Married,No
28,27287,Bachelors,438.0,8453,36,Self-Employed,Divorced,No
59,53660,PhD,734.0,42275,60,Unemployed,Married,No
46,95758,High School,808.0,48370,48,Self-Employed,Married,Yes
54,80504,Bachelors,572.0,43396,24,Self-Employed,Divorced,No
23,79720,Masters,398.0,13328,24,Employed,Divorced,No
32,122979,Bachelors,403.0,20534,48,Employed,Single,No
21,54701,Bachelors,513.0,24744,12,Self-Employed,Married,No
64,103300,Bachelors,464.0,24389,12,Self-Employed,,No
25,130177,Masters,819.0,41320,36,Employed,Divorced,Yes
50,37674,PhD,583.0,40010,48,Employed,Single,No
50,103560,Bachelors,816.0,19665,12,Employed,Single,Yes
37,131543,Bachelors,463.0,42865,48,Unemployed,Divorced,No
43,43874,High School,363.0,13640,60,Unemployed,Single,No
35,63642,Masters,390.0,39716,24,Employed,Divorced,No
57,143867,Bachelors,416.0,30521,24,Self-Employed,Married,No
41,117820,Masters,566.0,35049,24,Employed,Single,No
34,85160,Bachelors,439.0,10618,48,Unemployed,Married,No
22,37602,PhD,545.0,42004,48,Self-Employed,Married,No
31,123320,PhD,694.0,6920,36,Unemployed,Married,No
59,108801,Bachelors,786.0,48937,24,Self-Employed,Divorced,Yes
58,45931,PhD,775.0,9188,36,Unemployed,Married,No
54,114377,Bachelors,816.0,17207,24,Self-Employed,Married,Yes
58,49192,PhD,483.0,5238,36,Self-Employed,,No
54,66542,High School,,37972,36,Self-Employed,Divorced,No
38,147015,High School,,15799,60,Self-Employed,Married,Yes
50,62520,High School,,10552,36,Unemployed,Married,No
35,84772,Masters,446.0,33916,48,Unemployed,Single,No
47,78762,Masters,603.0,9927,36,Self-Employed,Divorced,Yes
54,70106,High School,527.0,32964,24,Self-Employed,Married,No
58,101121,Masters,401.0,16164,36,Unemployed,Single,No
53,45559,PhD,716.0,42158,12,Self-Employed,Divorced,Yes
44,125595,Bachelors,515.0,24071,24,Self-Employed,Divorced,No
35,53742,Bachelors,706.0,11160,12,Self-Employed,Divorced,Yes
50,89669,Bachelors,698.0,20810,24,Employed,Divorced,Yes
62,100199,High School,798.0,10126,48,Self-Employed,Divorced,Yes
37,41754,Masters,764.0,35009,48,Employed,Divorced,Yes
25,23972,,381.0,38584,48,Self-Employed,Married,No
49,90831,PhD,664.0,30396,12,Unemployed,Married,No
24,132217,High School,462.0,5192,60,Employed,Married,No
30,61873,PhD,347.0,41413,24,Employed,Married,No
37,114661,PhD,810.0,17816,48,Self-Employed,Single,Yes
30,126532,PhD,628.0,44082,24,Self-Employed,Married,Yes
37,146267,PhD,415.0,37130,12,Employed,Divorced,No
40,29903,Masters,636.0,45142,60,Unemployed,,No
44,23020,PhD,446.0,41468,12,Unemployed,Married,No
25,61755,Bachelors,622.0,35698,24,Self-Employed,Divorced,Yes
54,105956,,742.0,15655,60,Unemployed,Married,No
26,106988,Masters,312.0,35075,60,Unemployed,Married,No
22,65648,PhD,793.0,14359,12,Self-Employed,,Yes
33,123537,Masters,586.0,41661,48,Unemployed,Single,No
63,145991,PhD,413.0,44579,24,Self-Employed,Married,No
63,29516,Bachelors,779.0,47056,36,Employed,Divorced,No
31,132863,High School,321.0,38272,36,Self-Employed,Divorced,No
43,135005,PhD,648.0,47581,12,Employed,Married,Yes
36,22396,PhD,619.0,19671,24,Employed,Married,No
51,104082,PhD,425.0,32048,24,Unemployed,Married,No
31,39129,,576.0,15738,12,Unemployed,Divorced,No
36,148322,High School,503.0,30963,24,Unemployed,Divorced,No
28,21591,High School,493.0,48954,48,Self-Employed,Single,No
24,31303,,846.0,11773,12,Unemployed,Single,No
60,50561,,585.0,41584,48,Employed,Single,No
24,91719,PhD,356.0,34894,24,Unemployed,Divorced,No
45,138618,Bachelors,602.0,5717,12,Unemployed,Single,No
23,112108,Bachelors,462.0,16676,24,Self-Employed,Married,No
52,148748,Bachelors,318.0,9434,12,Self-Employed,Married,No
23,119616,PhD,669.0,42825,24,Employed,Divorced,Yes
47,144165,Masters,563.0,34100,48,Self-Employed,Single,No
49,106231,PhD,412.0,9994,48,Unemployed,Married,No
52,27314,High School,787.0,9234,24,Self-Employed,Divorced,No
39,137071,High School,626.0,8764,12,Employed,Single,Yes
41,39623,PhD,841.0,48949,36,Unemployed,Married,No
25,87675,PhD,364.0,42405,48,Employed,Single,No
38,132992,Bachelors,591.0,39872,48,Self-Employed,Divorced,No
48,116826,PhD,324.0,47215,36,Self-Employed,Single,No
62,85082,Bachelors,848.0,28185,24,Employed,Divorced,Yes
42,149839,High School,,48442,12,Unemployed,Single,No
41,103624,Bachelors,848.0,46153,24,Self-Employed,,Yes
26,125228,PhD,440.0,16999,60,Self-Employed,Divorced,No
21,53130,High School,487.0,41487,48,Unemployed,Divorced,No
25,71756,Masters,427.0,7581,60,Self-Employed,Divorced,No
61,117624,Bachelors,500.0,7763,48,Employed,Single,No
32,46292,,426.0,32374,48,Self-Employed,Single,No
46,131785,Bachelors,556.0,43759,60,Self-Employed,Married,No
54,147331,High School,846.0,15531,60,Unemployed,Divorced,No
34,106206,High School,493.0,30307,24,Employed,Divorced,No
46,89274,Bachelors,403.0,35835,60,Unemployed,Single,No
47,22469,Masters,834.0,16064,24,Self-Employed,Single,No
29,73947,High School,564.0,16312,24,Self-Employed,Married,No
46,42534,High School,683.0,42548,24,Unemployed,Married,No
42,83620,High School,559.0,41945,48,Unemployed,Single,No
50,68874,,713.0,11476,48,Unemployed,Divorced,No
63,69708,Masters,657.0,29565,60,Employed,Married,Yes
37,94553,PhD,374.0,7382,48,Self-Employed,Single,No
46,88344,Bachelors,654.0,27463,60,Unemployed,Single,No
56,69138,Masters,487.0,38402,48,Self-Employed,Divorced,No
21,74302,Bachelors,589.0,31345,12,Employed,Single,No
28,67638,PhD,344.0,49764,12,Employed,Single,No
55,98249,Bachelors,382.0,31946,60,Employed,Married,No
35,125865,,422.0,19162,48,Employed,Single,No
42,22719,Bachelors,657.0,13397,48,Self-Employed,,No
34,42890,Masters,827.0,27335,24,Employed,Married,Yes
46,97236,Bachelors,365.0,19394,36,Employed,Divorced,No
48,56509,Masters,674.0,32197,60,Unemployed,Divorced,No
43,62534,Masters,461.0,27010,36,Employed,Married,No
34,122302,Bachelors,679.0,29123,36,Unemployed,Married,No
44,112241,PhD,657.0,27387,60,Employed,Divorced,Yes
22,38787,High School,487.0,7890,48,Employed,Divorced,No
46,146209,PhD,621.0,32769,60,Unemployed,Divorced,No
34,68845,Bachelors,749.0,48626,36,Employed,,Yes
27,77932,PhD,773.0,13026,48,Self-Employed,Divorced,Yes
23,112124,Masters,312.0,8306,12,Self-Employed,Married,No
43,111659,High School,483.0,38665,60,Employed,Single,No
63,53062,Bachelors,410.0,14277,60,Self-Employed,Divorced,No
38,95713,Bachelors,807.0,47239,48,Unemployed,Divorced,No
58,107263,Bachelors,589.0,19683,12,Employed,Single,No
55,115756,High School,594.0,5670,12,Employed,Single,No
35,80461,Masters,750.0,28675,48,Unemployed,Single,No
45,95418,Bachelors,514.0,22889,24,Unemployed,Single,No
57,86672,PhD,326.0,49535,60,Unemployed,Single,No
48,148232,Bachelors,530.0,18006,60,Employed,Single,No
30,54832,Bachelors,620.0,31531,36,Unemployed,,No
59,147335,Bachelors,532.0,26639,48,Unemployed,Single,No
37,51966,Bachelors,736.0,21633,36,Self-Employed,,Yes
59,92545,Masters,832.0,39660,36,Self-Employed,Married,Yes
42,32987,PhD,702.0,8439,12,Employed,Single,No
46,57311,Masters,352.0,37172,60,Self-Employed,Divorced,No
64,51575,PhD,612.0,40622,36,Self-Employed,Divorced,Yes
45,83852,Bachelors,580.0,16577,12,Unemployed,,No
37,147650,High School,330.0,16763,48,Unemployed,Married,No
33,21007,Masters,636.0,25176,36,Self-Employed,Divorced,No
40,90981,High School,482.0,49386,60,Self-Employed,Married,No
45,96242,Masters,322.0,29255,36,Self-Employed,Divorced,No
24,67517,Bachelors,843.0,46003,48,Employed,Single,Yes
30,130022,Masters,745.0,24996,36,Employed,Married,Yes
23,49257,Bachelors,373.0,40386,60,Employed,Married,No
61,107272,Masters,309.0,26062,12,Self-Employed,Married,No
38,62207,Bachelors,783.0,40931,60,Self-Employed,Divorced,Yes
56,33281,Bachelors,,40710,12,Employed,Divorced,No
42,81246,PhD,459.0,39693,24,Employed,Divorced,No
54,21435,,,40740,60,Self-Employed,Single,No
28,118875,PhD,477.0,16705,60,Unemployed,Divorced,No
60,120686,Bachelors,711.0,48408,48,Employed,Single,Yes
64,111357,High School,352.0,33047,36,Self-Employed,Married,No
39,46660,Bachelors,707.0,15966,12,Self-Employed,Married,Yes
62,25084,High School,321.0,22374,12,Unemployed,Single,No
61,102197,High School,329.0,16138,48,Self-Employed,Divorced,No
57,33507,Bachelors,559.0,20935,48,Self-Employed,Single,No
26,92595,High School,504.0,5489,36,Employed,Married,No
46,103807,PhD,358.0,49516,36,Employed,Married,No
54,65539,Masters,770.0,27260,60,Unemployed,Single,No
26,135953,Bachelors,765.0,31069,24,Unemployed,Divorced,No
57,27491,High School,311.0,24275,36,Self-Employed,Divorced,No
53,147706,Bachelors,589.0,41284,48,Employed,Single,No
42,132831,PhD,653.0,44178,36,Unemployed,,No
41,70192,Bachelors,,37821,12,Unemployed,Divorced,No
26,100395,Bachelors,740.0,21999,24,Unemployed,Married,No
26,143797,,540.0,43712,60,Self-Employed,Single,No
24,83888,PhD,453.0,45172,12,Employed,Divorced,No
50,93609,Masters,395.0,38722,12,Unemployed,Divorced,No
31,29077,Masters,593.0,15625,24,Employed,Married,No
50,137440,High School,508.0,6629,60,Unemployed,Married,No
51,142901,Bachelors,642.0,15973,48,Unemployed,Married,No
44,40953,High School,387.0,11859,60,Employed,Married,No
29,96919,High School,689.0,46609,36,Employed,Married,Yes
23,134682,High School,624.0,48307,12,Employed,,Yes
51,141041,Bachelors,456.0,41046,36,Self-Employed,Divorced,No
60,87889,PhD,436.0,26839,48,Unemployed,Single,No
57,43821,,727.0,32216,36,Self-Employed,Single,Yes
56,57567,Bachelors,751.0,23945,60,Employed,Single,Yes
44,135374,PhD,440.0,11539,36,Unemployed,,No
51,44860,High School,382.0,38625,48,Self-Employed,Single,No
26,41195,Masters,476.0,9886,48,Unemployed,Married,No
22,97475,PhD,497.0,12485,48,Self-Employed,Married,No
40,110874,High School,720.0,36455,60,Employed,Divorced,Yes
48,107266,PhD,700.0,21767,48,Self-Employed,Single,Yes
31,41427,PhD,770.0,33453,12,Unemployed,Divorced,No
24,120732,PhD,517.0,15744,48,Unemployed,Married,No
35,47083,PhD,474.0,42102,36,Unemployed,Married,No
26,107046,PhD,322.0,17226,36,Unemployed,Married,No
50,77372,PhD,534.0,32869,36,Employed,Single,No
58,143786,High School,312.0,27588,60,Self-Employed,Single,No
22,64064,Masters,400.0,18440,36,Employed,Married,No
35,27813,Bachelors,835.0,36709,60,Employed,Divorced,No
31,51598,PhD,822.0,27495,60,Employed,Divorced,Yes
28,132718,Bachelors,751.0,42019,48,Unemployed,Married,No
46,146879,High School,730.0,49948,12,Unemployed,Divorced,No
64,113106,,832.0,5922,48,Unemployed,Married,No
25,47082,Masters,592.0,32526,48,Self-Employed,Divorced,No
26,49241,Bachelors,400.0,12957,60,Unemployed,Married,No
46,116214,PhD,801.0,38998,60,Self-Employed,Divorced,Yes
24,64569,High School,603.0,48395,36,Unemployed,Single,No
39,31745,Masters,839.0,29031,36,Unemployed,Married,No
40,46029,Bachelors,654.0,15006,48,Employed,Married,Yes
53,33025,Bachelors,602.0,42701,24,Employed,Divorced,No
40,121660,PhD,795.0,30939,24,Employed,Married,Yes
32,143395,Masters,526.0,25324,36,Self-Employed,Married,No
21,34288,Masters,535.0,27867,24,Self-Employed,Married,No
46,109186,Masters,754.0,5203,36,Unemployed,Single,No
34,26540,Masters,312.0,21544,60,Self-Employed,Single,No
58,117768,High School,509.0,20899,48,Unemployed,Divorced,No
57,101958,Masters,696.0,34063,12,Self-Employed,Single,Yes
31,88878,Bachelors,399.0,30344,48,Self-Employed,Divorced,No
56,61846,Bachelors,330.0,8748,36,Self-Employed,Single,No
33,121148,High School,827.0,44486,36,Employed,Divorced,Yes
63,95932,Bachelors,628.0,6093,48,Self-Employed,Single,Yes
23,37482,Bachelors,465.0,20228,36,Employed,Single,No
53,43411,Masters,758.0,25884,24,Employed,Divorced,Yes
26,70975,Bachelors,399.0,30183,24,Self-Employed,Married,No
30,80545,High School,,21034,36,Unemployed,Married,No
25,132302,Masters,461.0,10710,36,Unemployed,Single,No
43,98797,PhD,562.0,47500,24,Unemployed,Divorced,No
30,72307,Masters,573.0,24259,36,Self-Employed,Married,No
64,23093,High School,302.0,40959,36,Unemployed,Divorced,No
22,97258,Masters,327.0,38457,48,Employed,Married,No
33,42042,Masters,625.0,25143,12,Unemployed,,No
60,72930,High School,448.0,7103,24,Self-Employed,Single,No
